station_id,day_of_week,hour,actual_bikes
74,6,21,12.764652014652016
74,6,22,13.506623931623931
74,6,23,13.078296703296703
75,0,0,13.076923076923077
75,0,1,13.076923076923077
75,0,2,13.076923076923077
75,0,3,13.076923076923077
75,0,4,13.076923076923077
75,0,5,12.066350316350317
75,0,6,11.702874902874903
75,0,7,6.445313020313021
75,0,8,3.2780830280830284
75,0,9,4.41941391941392
75,0,10,5.885225885225885
75,0,11,7.197802197802198
75,0,12,8.600274725274726
75,0,13,10.515506715506715
75,0,14,12.817460317460318
75,0,15,13.624173049173049
75,0,16,12.738270063270063
75,0,17,12.397455322455322
75,0,18,12.726526251526252
75,0,19,13.040842490842492
75,0,20,13.436355311355312
75,0,21,14.139652014652016
75,0,22,14.126831501831502
75,0,23,14.153846153846153
75,1,0,14.153846153846153
75,1,1,14.153846153846153
75,1,2,14.153846153846153
75,1,3,14.153846153846153
75,1,4,14.084249084249084
75,1,5,13.78131868131868
75,1,6,13.417604617604617
75,1,7,7.165567765567766
75,1,8,2.430830280830281
75,1,9,3.6809829059829062
75,1,10,6.32960927960928
75,1,11,7.636294261294261
75,1,12,9.051948051948052
75,1,13,11.764652014652016
75,1,14,13.212065712065712
75,1,15,12.183904983904984
75,1,16,14.076223776223777
75,1,17,16.04690587190587
75,1,18,19.09092574092574
75,1,19,19.632631257631257
75,1,20,19.845238095238095
75,1,21,20.42032967032967
75,1,22,20.66346153846154
75,1,23,20.621642246642246
75,2,0,21.53846153846154
75,2,1,21.53846153846154
75,2,2,21.53846153846154
75,2,3,21.53846153846154
75,2,4,21.432692307692307
75,2,5,21.03846153846154
75,2,6,22.153352203352203
75,2,7,15.43892773892774
75,2,8,7.834096459096459
75,2,9,6.4971001221001226
75,2,10,5.718864468864469
75,2,11,5.715659340659341
75,2,12,5.919566544566544
75,2,13,8.688369963369963
75,2,14,11.797924297924299
75,2,15,11.358799533799534
75,2,16,13.052020202020202
75,2,17,14.962839937839938
75,2,18,17.614285714285714
75,2,19,18.45467032967033
75,2,20,17.9739010989011
75,2,21,18.84539072039072
75,2,22,18.94410866910867
75,2,23,19.255494505494507
75,3,0,19.307692307692307
75,3,1,19.307692307692307
75,3,2,18.416666666666668
75,3,3,18.416666666666668
75,3,4,18.35515873015873
75,3,5,19.617559523809526
75,3,6,21.50843253968254
75,3,7,16.33497474747475
75,3,8,9.081003487253488
75,3,9,10.033035714285715
75,3,10,14.185134310134309
75,3,11,13.997832722832722
75,3,12,13.226678876678877
75,3,13,13.696275946275945
75,3,14,15.553907203907205
75,3,15,14.760644910644912
75,3,16,15.173948273948273
75,3,17,17.063028638028637
75,3,18,17.892399267399266
75,3,19,18.638125763125764
75,3,20,19.445054945054945
75,3,21,20.76248473748474
75,3,22,20.687271062271062
75,3,23,21.690934065934066
75,4,0,21.846153846153847
75,4,1,21.846153846153847
75,4,2,21.846153846153847
75,4,3,21.846153846153847
75,4,4,21.774725274725274
75,4,5,21.61431623931624
75,4,6,22.05338827838828
75,4,7,19.643412143412142
75,4,8,17.53021978021978
75,4,9,16.890720390720393
75,4,10,16.99406426906427
75,4,11,16.064646464646465
75,4,12,17.10989010989011
75,4,13,18.158730158730158
75,4,14,18.372716172716174
75,4,15,18.413863913863914
75,4,16,17.822216672216673
75,4,17,17.695909645909644
75,4,18,16.561904761904763
75,4,19,16.073565323565326
75,4,20,16.075091575091577
75,4,21,16.142399267399266
75,4,22,15.337759462759463
75,4,23,15.391483516483516
75,5,0,15.461538461538462
75,5,1,15.461538461538462
75,5,2,15.461538461538462
75,5,3,15.461538461538462
75,5,4,15.234432234432234
75,5,5,15.027014652014653
75,5,6,15.324725274725274
75,5,7,15.488553113553113
75,5,8,15.735347985347984
75,5,9,16.88537851037851
75,5,10,16.992032967032966
75,5,11,18.203663003663003
75,5,12,19.34747474747475
75,5,13,19.705780330780332
75,5,14,19.197191697191695
75,5,15,17.635347985347984
75,5,16,17.898931623931624
75,5,17,16.404914529914528
75,5,18,14.5233016983017
75,5,19,13.338125763125763
75,5,20,12.856227106227106
75,5,21,12.457875457875458
75,5,22,12.711538461538462
75,5,23,13.677655677655679
75,6,0,13.76923076923077
75,6,1,13.76923076923077
75,6,2,13.76923076923077
75,6,3,13.76923076923077
75,6,4,13.76923076923077
75,6,5,13.578754578754578
75,6,6,13.361263736263737
75,6,7,13.106990231990231
75,6,8,12.445054945054945
75,6,9,14.530128205128205
75,6,10,14.117612942612944
75,6,11,13.029151404151404
75,6,12,13.373962148962148
75,6,13,14.043040293040292
75,6,14,12.983669108669108
75,6,15,11.894597069597069
75,6,16,12.681227106227105
75,6,17,12.223901098901099
75,6,18,11.480311355311356
75,6,19,11.47924297924298
75,6,20,11.117673992673993
75,6,21,11.45970695970696
75,6,22,12.611904761904762
75,6,23,13.053571428571429
76,0,0,7.602564102564102
76,0,1,7.615384615384615
76,0,2,7.615384615384615
76,0,3,7.615384615384615
76,0,4,6.775946275946276
76,0,5,3.2274114774114775
76,0,6,1.2996031746031744
76,0,7,1.6226495726495727
76,0,8,1.156898656898657
76,0,9,1.924908424908425
76,0,10,2.806776556776557
76,0,11,5.1335470085470085
76,0,12,6.028540903540904
76,0,13,5.142094017094018
76,0,14,5.202075702075702
76,0,15,4.99496336996337
76,0,16,4.973698523698524
76,0,17,6.662057387057387
76,0,18,8.828321678321679
76,0,19,10.065323565323565
76,0,20,10.841117216117215
76,0,21,11.093101343101344
76,0,22,12.86370573870574
76,0,23,13.53464590964591
76,1,0,13.538461538461538
76,1,1,13.538461538461538
76,1,2,13.538461538461538
76,1,3,13.538461538461538
76,1,4,12.639652014652016
76,1,5,7.240079365079366
76,1,6,2.7866272616272614
76,1,7,1.2413919413919414
76,1,8,0.4560439560439561
76,1,9,0.309981684981685
76,1,10,0.6593406593406593
76,1,11,1.8241480741480744
76,1,12,4.912240537240537
76,1,13,6.463675213675213
76,1,14,9.09490231990232
76,1,15,9.484279609279609
76,1,16,9.41413863913864
76,1,17,12.045460095460097
76,1,18,14.325183150183149
76,1,19,15.930494505494506
76,1,20,16.708791208791208
76,1,21,18.113858363858363
76,1,22,20.30238095238095
76,1,23,21.218406593406595
76,2,0,22.53846153846154
76,2,1,22.53846153846154
76,2,2,22.53846153846154
76,2,3,22.53846153846154
76,2,4,21.630494505494504
76,2,5,16.912354312354314
76,2,6,11.670798645798644
76,2,7,6.866677766677767
76,2,8,2.321109446109446
76,2,9,2.1981379731379733
76,2,10,2.51510989010989
76,2,11,4.4216616716616715
76,2,12,7.725579975579976
76,2,13,7.8769841269841265
76,2,14,10.607509157509158
76,2,15,11.448260073260075
76,2,16,11.68529526029526
76,2,17,13.2985347985348
76,2,18,15.228876678876677
76,2,19,17.385286935286935
76,2,20,18.62087912087912
76,2,21,20.388431013431013
76,2,22,22.5279304029304
76,2,23,23.24771062271062
76,3,0,23.46153846153846
76,3,1,23.46153846153846
76,3,2,23.583333333333332
76,3,3,23.583333333333332
76,3,4,22.902777777777775
76,3,5,17.574335618085616
76,3,6,11.687037037037037
76,3,7,5.554307960557961
76,3,8,1.9255952380952381
76,3,9,1.8323412698412698
76,3,10,3.656135531135531
76,3,11,3.4652930402930404
76,3,12,6.90467032967033
76,3,13,8.281105006105006
76,3,14,11.157234432234434
76,3,15,10.526190476190475
76,3,16,10.539133089133088
76,3,17,12.241866466866467
76,3,18,14.052167277167277
76,3,19,15.494963369963369
76,3,20,17.082112332112334
76,3,21,18.27032967032967
76,3,22,20.699175824175825
76,3,23,21.11813186813187
76,4,0,21.384615384615383
76,4,1,21.45054945054945
76,4,2,21.46153846153846
76,4,3,21.46153846153846
76,4,4,20.847619047619048
76,4,5,16.87305472305472
76,4,6,12.412973137973138
76,4,7,8.757348207348208
76,4,8,5.682281607281608
76,4,9,5.320512820512821
76,4,10,5.2394993894993895
76,4,11,5.979151404151405
76,4,12,7.525702075702076
76,4,13,7.538794538794539
76,4,14,10.017970917970917
76,4,15,9.94572927072927
76,4,16,9.170085470085471
76,4,17,9.35460927960928
76,4,18,8.75473137973138
76,4,19,7.808608058608058
76,4,20,8.578205128205129
76,4,21,10.003205128205128
76,4,22,12.817612942612943
76,4,23,13.563553113553114
76,5,0,13.692307692307692
76,5,1,13.692307692307692
76,5,2,13.692307692307692
76,5,3,13.692307692307692
76,5,4,13.288461538461538
76,5,5,11.751068376068377
76,5,6,9.91025641025641
76,5,7,10.169566544566543
76,5,8,11.598304473304474
76,5,9,11.204212454212454
76,5,10,11.633119658119657
76,5,11,10.180361305361306
76,5,12,8.63429625929626
76,5,13,11.532692307692308
76,5,14,10.765984015984015
76,5,15,9.241536241536242
76,5,16,9.050213675213675
76,5,17,7.1941391941391934
76,5,18,7.0059523809523805
76,5,19,6.320512820512821
76,5,20,5.95970695970696
76,5,21,6.538461538461538
76,5,22,9.094627594627594
76,5,23,10.007326007326007
76,6,0,10.23076923076923
76,6,1,10.23076923076923
76,6,2,10.23076923076923
76,6,3,10.23076923076923
76,6,4,9.860805860805861
76,6,5,8.277319902319903
76,6,6,6.28525641025641
76,6,7,6.187271062271062
76,6,8,6.485958485958486
76,6,9,7.145787545787545
76,6,10,5.831196581196581
76,6,11,4.717460317460318
76,6,12,4.351251526251526
76,6,13,3.857295482295482
76,6,14,2.6106532356532357
76,6,15,2.402014652014652
76,6,16,3.435683760683761
76,6,17,3.457264957264957
76,6,18,2.61996336996337
76,6,19,2.5782967032967035
76,6,20,3.0541819291819294
76,6,21,4.477564102564103
76,6,22,6.396245421245421
76,6,23,7.4006410256410255
77,0,0,23.46153846153846
77,0,1,23.46153846153846
77,0,2,23.46153846153846
77,0,3,23.46153846153846
77,0,4,23.260073260073263
77,0,5,19.801251526251527
77,0,6,15.068833943833944
77,0,7,12.009798534798534
77,0,8,13.73021978021978
77,0,9,12.4267094017094
77,0,10,11.8015873015873
77,0,11,11.514013764013765
77,0,12,13.907925407925408
77,0,13,14.521825396825395
77,0,14,14.313797313797314
77,0,15,13.743037518037518
77,0,16,14.308372183372184
77,0,17,15.214041514041515
77,0,18,16.205128205128204
77,0,19,16.60424297924298
77,0,20,17.348443223443223
77,0,21,17.54471916971917
77,0,22,18.599969474969473
77,0,23,18.339285714285715
77,1,0,18.307692307692307
77,1,1,18.307692307692307
77,1,2,18.307692307692307
77,1,3,18.307692307692307
77,1,4,18.671703296703296
77,1,5,18.215262515262516
77,1,6,14.380189255189254
77,1,7,10.741933066933067
77,1,8,10.960958485958486
77,1,9,9.890079365079364
77,1,10,8.691666666666666
77,1,11,9.16056721056721
77,1,12,11.104645354645355
77,1,13,11.473482073482074
77,1,14,11.160422910422911
77,1,15,10.581349206349207
77,1,16,8.75995670995671
77,1,17,9.239241314241314
77,1,18,9.502991452991454
77,1,19,10.346275946275947
77,1,20,10.578754578754578
77,1,21,10.205433455433454
77,1,22,10.937271062271064
77,1,23,10.887362637362637
77,2,0,11.846153846153847
77,2,1,11.846153846153847
77,2,2,11.846153846153847
77,2,3,11.846153846153847
77,2,4,12.076923076923077
77,2,5,11.237551337551338
77,2,6,9.687728937728938
77,2,7,8.155633255633255
77,2,8,10.17615995115995
77,2,9,9.885134310134308
77,2,10,10.317704517704518
77,2,11,9.774528249528249
77,2,12,11.261305361305363
77,2,13,11.957264957264957
77,2,14,12.356235431235431
77,2,15,10.66864246864247
77,2,16,10.428532578532579
77,2,17,11.120532245532246
77,2,18,11.968251193251193
77,2,19,11.457631257631258
77,2,20,11.96031746031746
77,2,21,12.596153846153847
77,2,22,13.570665445665444
77,2,23,13.594627594627594
77,3,0,13.538461538461538
77,3,1,13.538461538461538
77,3,2,13.071428571428571
77,3,3,13.083333333333334
77,3,4,13.168650793650793
77,3,5,11.437996031746032
77,3,6,9.699966931216931
77,3,7,8.735143097643098
77,3,8,10.47096560846561
77,3,9,9.001058201058202
77,3,10,9.638980463980463
77,3,11,10.247619047619047
77,3,12,11.111813186813187
77,3,13,11.52867132867133
77,3,14,13.318861693861693
77,3,15,14.001942501942503
77,3,16,14.088963813963813
77,3,17,15.646756021756023
77,3,18,17.053424353424354
77,3,19,16.712393162393163
77,3,20,16.63476800976801
77,3,21,16.52518315018315
77,3,22,16.86340048840049
77,3,23,17.514499389499388
77,4,0,17.53846153846154
77,4,1,17.615384615384617
77,4,2,17.615384615384617
77,4,3,17.615384615384617
77,4,4,17.699175824175825
77,4,5,15.918345543345541
77,4,6,14.201923076923077
77,4,7,12.720795870795872
77,4,8,14.55843045843046
77,4,9,13.475849150849152
77,4,10,11.990448440448441
77,4,11,12.60473692973693
77,4,12,14.055450105450104
77,4,13,15.138045288045287
77,4,14,15.588883338883338
77,4,15,14.912831612831612
77,4,16,17.057983682983682
77,4,17,18.209576534576534
77,4,18,17.631593406593407
77,4,19,17.160897435897436
77,4,20,17.88064713064713
77,4,21,18.147680097680098
77,4,22,18.555250305250304
77,4,23,19.870268620268618
77,5,0,20.076923076923077
77,5,1,20.076923076923077
77,5,2,20.076923076923077
77,5,3,20.076923076923077
77,5,4,20.660714285714285
