day_of_week,hour,mean_occupancy,mean_bikes,pct_hours_empty
1,10,0.3547191701337205,11.230917732476044,0.2774798927613941
1,11,0.3483135385589227,11.03857187830043,0.2640750670241287
1,12,0.3565754242077553,11.279993152513262,0.22587131367292226
1,13,0.3611238211345476,11.462274579382488,0.19571045576407506
1,14,0.3610528316957009,11.410620833961985,0.17560321715817695
1,15,0.3511121840724648,10.993320581340019,0.16420911528150134
1,16,0.33567748435239053,10.536289721226048,0.2037533512064343
1,17,0.3513023272796316,11.038364132516277,0.2386058981233244
1,18,0.36299105793019,11.465558084676717,0.23927613941018766
1,19,0.3686073257959421,11.67926229452704,0.2359249329758713
1,20,0.3715905000697684,11.815404693236463,0.24128686327077747
1,21,0.37165268768925935,11.873023948794726,0.24932975871313673
1,22,0.37471287527341524,12.002417245173785,0.2608987256874581
1,23,0.3767460528945564,12.079942981602942,0.266934942991281
2,0,0.37858713970383995,12.144476892633728,0.26742627345844505
2,1,0.37868723551310424,12.148027575641516,0.26742627345844505
2,2,0.37851427322907305,12.143178991136123,0.2672471533824514
2,3,0.3785197098554072,12.143335565974548,0.2672471533824514
2,4,0.37136807569441665,11.927190887924311,0.24715338245144006
2,5,0.3580483021154059,11.543038122107111,0.1955793703951775
2,6,0.3453702088139607,11.187838677657833,0.17280643000669793
2,7,0.3151410433672151,10.127534265243575,0.16008037508372405
2,8,0.3407442253869561,10.815345034886226,0.24112525117213665
2,9,0.3555715531820774,11.27925683009407,0.2592096450100469
2,10,0.35352268574347284,11.22923029935756,0.25452109845947757
2,11,0.3469815379052212,11.062780107070127,0.23710649698593436
2,12,0.35519929502815173,11.307605332823016,0.20964501004688546
2,13,0.36035485037159337,11.482463883887192,0.17615539182853315
2,14,0.3603226302029369,11.42433996940025,0.1507032819825854
2,15,0.3481036687515281,10.969944879857806,0.15941058271935699
2,16,0.3348976168404945,10.548233579697076,0.2016075016744809
2,17,0.34959059927871966,10.986179250161166,0.2491627595445412
2,18,0.3590908460040192,11.367657558263721,0.2565304755525787
2,19,0.3677402984455299,11.665814348634175,0.2578700602813128
2,20,0.37247864100738937,11.825757551594792,0.26858673811118555
2,21,0.3728827792928976,11.878548087322367,0.2833221701272606
2,22,0.3748224026072433,11.977718820585533,0.28667113194909577
2,23,0.37722550512550845,12.082553407000827,0.2913596784996651
3,0,0.3792105121362625,12.14378209421746,0.29470864032150035
3,1,0.37936675001483305,12.148550377954262,0.29470864032150035
3,2,0.3790568488505633,12.14060446592844,0.2915766738660907
3,3,0.3792630951570143,12.15496017378711,0.29109341057204924
3,4,0.3732681536046852,11.98098422415946,0.278059377262853
3,5,0.36022306676376914,11.59897119535063,0.22592324402606806
3,6,0.3502286964533606,11.296483101638673,0.1736613603473227
3,7,0.3185063312680686,10.211844689013887,0.13665943600867678
3,8,0.3435805878868424,10.873027993395693,0.20187454938716654
3,9,0.35941769469307283,11.383975653057865,0.20552799433026223
3,10,0.35639240173977715,11.305417376795646,0.19852448021462105
3,11,0.35062973792664603,11.121124448235708,0.19168900804289543
3,12,0.3567907655837344,11.306968281030572,0.174146014735432
3,13,0.3596230357075064,11.464176111898817,0.15941058271935699
3,14,0.36216177920053566,11.462973844269893,0.1507032819825854
3,15,0.3536619453577174,11.088536378037384,0.1346282652377763
3,16,0.3411930936800468,10.68622581184537,0.18955123911587407
3,17,0.3535403384617328,11.046159881273745,0.24313462826523777
3,18,0.3658398694389083,11.457988095479724,0.2478231748158071
3,19,0.37061629761777537,11.64264569433692,0.24313462826523777
